,Country,Life expectancy,ISO.code,Population,Code,Year,GDPperCapita
1,Afghanistan,64.5,AFG,38742911,AFG,2020,1978.961579
2,Algeria,76.7,DZA,43685618,DZA,2020,10681.6793
3,Angola,60.8,AGO,32644783,AGO,2020,6198.083841
4,Antigua and Barbuda,76.9,ATG,97764,ATG,2020,17956.31572
5,Argentina,76.5,ARG,45111229,ARG,2020,19686.52366
6,Armenia,74.9,ARM,2962137,ARM,2020,12592.63537
7,Australia,83.3,AUS,25439164,AUS,2020,48697.83703
8,Austria,81.4,AUT,8996022,AUT,2020,51935.60386
9,Azerbaijan,72.9,AZE,10120555,AZE,2020,13699.66559
10,Bahrain,77.2,BHR,1688629,BHR,2020,40933.35266
11,Bangladesh,72.3,BGD,164354176,BGD,2020,4818.094737
12,Barbados,79.1,BRB,287305,BRB,2020,12870.0425
13,Belarus,74.6,BLR,9449940,BLR,2020,19148.1751
14,Belgium,81.5,BEL,11579477,BEL,2020,48210.03311
15,Belize,74.5,BLZ,396120,BLZ,2020,6119.887687
16,Benin,61.5,BEN,12055347,BEN,2020,3323.144451
17,Bhutan,71.5,BTN,769867,BTN,2020,10909.10017
18,Bolivia,71.2,BOL,11640159,BOL,2020,7931.754309
19,Bosnia and Herzegovina,77.3,BIH,3284806,BIH,2020,14339.83118
20,Botswana,69.3,BWA,2341649,BWA,2020,16040.00847
21,Brazil,75.7,BRA,212253150,BRA,2020,14063.98251
22,Brunei,75.7,BRN,436624,BRN,2020,62243.58315
23,Bulgaria,74.9,BGR,6958627,BGR,2020,22383.80554
24,Burkina Faso,61.2,BFA,20780371,BFA,2020,2160.51153
25,Burundi,61.2,BDI,11814346,BDI,2020,731.0632297
26,Cambodia,69.6,KHM,16671185,KHM,2020,4191.850003
27,Cameroon,58.9,CMR,26405174,CMR,2020,3576.349499
28,Canada,82.3,CAN,37674770,CAN,2020,45856.62563
29,Central African Republic,52.8,CAF,4812256,CAF,2020,928.5895075
30,Chad,54,TCD,16324440,TCD,2020,1519.912362
31,Chile,80,CHL,19082804,CHL,2020,23324.52475
32,China,76.7,CHN,1438207241,CHN,2020,16410.7978
33,Colombia,77.1,COL,50771878,COL,2020,13441.49295
34,Comoros,64.1,COM,865696,COM,2020,3140.698772
35,Costa Rica,80.1,CRI,5084636,CRI,2020,19679.28864
36,Croatia,78.3,HRV,4110214,HRV,2020,26465.12731
37,Cyprus,80.8,CYP,1205577,CYP,2020,37655.18035
38,Denmark,80.8,DNK,5788108,DNK,2020,55938.21281
39,Djibouti,66.6,DJI,985027,DJI,2020,5481.114817
40,Dominican Republic,73.9,DOM,10825682,DOM,2020,17003.01302
41,Ecuador,76.8,ECU,17587526,ECU,2020,10329.19875
42,Egypt,71.8,EGY,101930276,EGY,2020,11951.44753
43,El Salvador,73.1,SLV,6479609,SLV,2020,8056.543086
44,Equatorial Guinea,58.4,GNQ,1392950,GNQ,2020,17007.62478
45,Estonia,78.6,EST,1326357,EST,2020,35638.42135
46,Eswatini,59.4,SWZ,1157707,SWZ,2020,8392.717564
47,Ethiopia,66.2,ETH,114357494,ETH,2020,2296.827352
48,Fiji,67.3,FJI,895128,FJI,2020,10997.47349
49,Finland,81.7,FIN,5539002,FIN,2020,47260.80046
50,France,82.5,FRA,65244628,FRA,2020,42025.61737
51,Gabon,66.2,GAB,2214593,GAB,2020,14399.86881
52,Georgia,73.6,GEO,3990681,GEO,2020,14089.30233
53,Germany,81.2,DEU,83730223,DEU,2020,50922.35802
54,Ghana,63.8,GHA,30936375,GHA,2020,5304.983525
55,Greece,82.1,GRC,10433037,GRC,2020,27287.0834
56,Grenada,72.4,GRD,112418,GRD,2020,15065.87195
57,Guatemala,74.1,GTM,17846248,GTM,2020,8393.284643
58,Guinea,58,GIN,13056478,GIN,2020,2670.823355
59,Guinea,61.2,GIN,13056478,GIN,2020,2670.823355
60,Guyana,69.8,GUY,785788,GUY,2020,18679.98023
61,Haiti,63.7,HTI,11373955,HTI,2020,2773.081364
62,Honduras,75.1,HND,9871892,HND,2020,5138.385398
63,Hong Kong,84.7,HKG,7484618,HKG,2020,56153.9715
64,Hungary,76.7,HUN,9665192,HUN,2020,31007.76841
65,Iceland,82.9,ISL,340795,ISL,2020,52279.72885
66,India,69.4,IND,1377233523,IND,2020,6118.35733
67,Indonesia,71.5,IDN,272931713,IDN,2020,11444.96068
68,Iran,76.5,IRN,83771587,IRN,2020,12433.29698
69,Iraq,70.5,IRQ,40031626,IRQ,2020,9255.256903
70,Ireland,82.1,IRL,4926480,IRL,2020,89688.95696
71,Israel,82.8,ISR,8627444,ISR,2020,38341.30757
72,Italy,83.6,ITA,60479424,ITA,2020,38992.14838
73,Jamaica,74.4,JAM,2958567,JAM,2020,8741.550443
74,Jordan,74.4,JOR,10182442,JOR,2020,9816.55453
75,Kazakhstan,73.2,KAZ,18730568,KAZ,2020,25337.1524
76,Kenya,63.3,KEN,53521116,KEN,2020,4220.440248
77,Kiribati,68.1,KIR,119069,KIR,2020,2291.907219
78,Kyrgyzstan,71.3,KGZ,6501804,KGZ,2020,4706.570238
79,Laos,67.6,LAO,7253719,LAO,2020,7805.798556
80,Latvia,75.2,LVA,1890218,LVA,2020,29932.49391
81,Lebanon,78.9,LBN,6831445,LBN,2020,11649.05011
82,Lesotho,53.7,LSO,2138799,LSO,2020,2279.895874
83,Liberia,63.7,LBR,5032469,LBR,2020,1353.84292
84,Libya,72.7,LBY,6852010,LBY,2020,10282.29108
85,Lithuania,75.7,LTU,2729553,LTU,2020,36732.03474
86,Luxembourg,82.1,LUX,623861,LUX,2020,110261.1574
87,Madagascar,66.7,MDG,27539106,MDG,2020,1510.141726
88,Malawi,63.8,MWI,19024426,MWI,2020,1486.778248
89,Malaysia,76.1,MYS,32280610,MYS,2020,26435.17157
90,Mali,58.9,MLI,20125282,MLI,2020,2216.773262
91,Malta,82.4,MLT,441308,MLT,2020,39222.14335
92,Mauritania,64.7,MRT,4623535,MRT,2020,4983.220633
93,Mauritius,74.9,MUS,1271347,MUS,2020,19469.52459
94,Mexico,75,MEX,128655589,MEX,2020,17887.75074
95,Moldova,71.8,MDA,4035814,MDA,2020,12324.73628
96,Mongolia,69.7,MNG,3267320,MNG,2020,11470.67383
97,Montenegro,76.8,MNE,628050,MNE,2020,18278.73079
98,Morocco,76.5,MAR,36820713,MAR,2020,6916.346412
99,Mozambique,60.2,MOZ,31067362,MOZ,2020,1229.080019
100,Myanmar,66.9,MMR,54335948,MMR,2020,4544.021569
101,Namibia,63.4,NAM,2531290,NAM,2020,8893.813157
102,Nepal,70.5,NPL,29027347,NPL,2020,3800.065703
103,Netherlands,82.1,NLD,17127290,NLD,2020,54209.56384
104,New Zealand,82.1,NZL,4814272,NZL,2020,42404.39374
105,Nicaragua,74.3,NIC,6608366,NIC,2020,5280.140581
106,Niger,62,NER,24014064,NER,2020,1196.87756
107,Nigeria,54.3,NGA,205052107,NGA,2020,4916.721381
108,North Macedonia,75.7,MKD,2083391,MKD,2020,15848.41929
109,Norway,82.5,NOR,5412632,NOR,2020,63585.90351
110,Pakistan,67.1,PAK,219992900,PAK,2020,4622.770769
111,Panama,78.3,PAN,4300667,PAN,2020,25381.84845
112,Papua New Guinea,64.3,PNG,8911530,PNG,2020,4101.218882
113,Paraguay,74.1,PRY,7114524,PRY,2020,12335.47236
114,Peru,76.5,PER,32876986,PER,2020,11260.84575
115,Philippines,71.1,PHL,109280343,PHL,2020,7953.581644
116,Poland,78.5,POL,37854825,POL,2020,32238.15726
117,Portugal,81.9,PRT,10202571,PRT,2020,32181.15454
118,Romania,75.9,ROU,19262731,ROU,2020,28832.62315
119,Russia,72.4,RUS,145922010,RUS,2020,26456.38794
120,Rwanda,68.7,RWA,12883878,RWA,2020,2098.710362
121,Saint Lucia,76.1,LCA,183458,LCA,2020,12270.01329
122,Samoa,73.2,WSM,198147,WSM,2020,6295.731841
123,Saudi Arabia,75,SAU,34701377,SAU,2020,44328.18391
124,Senegal,67.7,SEN,16649599,SEN,2020,3300.085493
125,Serbia,75.8,SRB,8744288,SRB,2020,18210.00462
126,Seychelles,73.3,SYC,98224,SYC,2020,24361.89394
127,Sierra Leone,54.3,SLE,7942879,SLE,2020,1648.05336
128,Singapore,83.8,SGP,5840996,SGP,2020,93397.0488
129,Slovakia,77.4,SVK,5459116,SVK,2020,30330.04289
130,Slovenia,81.2,SVN,2078881,SVN,2020,36547.73896
131,Solomon Islands,72.8,SLB,683301,SLB,2020,2482.87192
132,Somalia,56.7,SOM,15798020,SOM,2020,829.6114289
133,South Africa,63.9,ZAF,59154802,ZAF,2020,11466.18967
134,Spain,83.4,ESP,46751175,ESP,2020,36215.44759
135,Sri Lanka,76.8,LKA,21395196,LKA,2020,12536.94176
136,Sudan,65.1,SDN,43632213,SDN,2020,4022.865967
137,Suriname,71.6,SUR,585561,SUR,2020,16130.17081
138,Sweden,82.7,SWE,10086531,SWE,2020,50683.32351
139,Tajikistan,70.9,TJK,9492342,TJK,2020,3657.573507
140,Tanzania,65,TZA,59368313,TZA,2020,2635.335891
141,Thailand,76.9,THA,69764925,THA,2020,17286.86661
142,Togo,60.8,TGO,8237580,TGO,2020,2107.877261
143,Trinidad and Tobago,73.4,TTO,1398579,TTO,2020,23728.15865
144,Tunisia,76.5,TUN,11793319,TUN,2020,9727.504259
145,Turkey,78.3,TUR,84153250,TUR,2020,28384.98778
146,Uganda,63,UGA,45427637,UGA,2020,2177.595854
147,Ukraine,72,UKR,43785122,UKR,2020,12377.01729
148,United Kingdom,81.2,GBR,67814098,GBR,2020,41627.12927
149,United States,78.9,USA,330610570,USA,2020,60235.72849
150,Uruguay,77.8,URY,3471314,URY,2020,21608.43027
151,Uzbekistan,71.5,UZB,33368859,UZB,2020,6994.169412
152,Vanuatu,70.3,VUT,305623,VUT,2020,2762.791388
153,Vietnam,75.3,VNM,97160127,VNM,2020,8200.331867
154,Zambia,63.5,ZMB,18273379,ZMB,2020,3270.035112
155,Zimbabwe,61.2,ZWE,14818157,ZWE,2020,2744.690758
