"","Country","Population..2020.","Urbanization.rate","ISO.code"
"1","Afghanistan",38742911,26,"AFG"
"2","Albania",2878420,62.1,"ALB"
"3","Algeria",43685618,73.7,"DZA"
"4","American Samoa",55215,87.2,"ASM"
"5","Andorra",77240,87.9,"AND"
"6","Angola",32644783,66.8,"AGO"
"7","Anguilla",14976,100,"AIA"
"8","Antigua and Barbuda",97764,24.4,"ATG"
"9","Argentina",45111229,92.1,"ARG"
"10","Armenia",2962137,63.3,"ARM"
"11","Aruba",106675,43.7,"ABW"
"12","Australia",25439164,86.2,"AUS"
"13","Austria",8996022,58.7,"AUT"
"14","Azerbaijan",10120555,56.4,"AZE"
"15","Bahrain",1688629,89.5,"BHR"
"16","Bangladesh",164354176,38.2,"BGD"
"17","Barbados",287305,31.2,"BRB"
"18","Belarus",9449940,79.5,"BLR"
"19","Belgium",11579477,98.1,"BEL"
"20","Belize",396120,46,"BLZ"
"21","Benin",12055347,48.4,"BEN"
"22","Bermuda",62323,100,"BMU"
"23","Bhutan",769867,42.3,"BTN"
"24","Bolivia",11640159,70.1,"BOL"
"25","Bosnia and Herzegovina",3284806,49,"BIH"
"26","Botswana",2341649,70.9,"BWA"
"27","Brazil",212253150,87.1,"BRA"
"28","Brunei",436624,78.3,"BRN"
"29","Bulgaria",6958627,75.7,"BGR"
"30","Burkina Faso",20780371,30.6,"BFA"
"31","Burundi",11814346,13.7,"BDI"
"32","Cambodia",16671185,24.2,"KHM"
"33","Cameroon",26405174,57.6,"CMR"
"34","Canada",37674770,81.6,"CAN"
"35","Cayman Islands",65564,100,"CYM"
"36","Central African Republic",4812256,42.2,"CAF"
"37","Chad",16324440,23.5,"TCD"
"38","Chile",19082804,87.7,"CHL"
"39","China",1438207241,61.4,"CHN"
"40","Colombia",50771878,81.4,"COL"
"41","Comoros",865696,29.4,"COM"
"42","Cook Islands",17561,75.5,"COK"
"43","Costa Rica",5084636,80.8,"CRI"
"44","Croatia",4110214,57.6,"HRV"
"45","Cuba",11327988,77.2,"CUB"
"46","Cyprus",1205577,66.8,"CYP"
"47","Denmark",5788108,88.1,"DNK"
"48","Djibouti",985027,78.1,"DJI"
"49","Dominica",71950,71.1,"DMA"
"50","Dominican Republic",10825682,82.5,"DOM"
"51","Ecuador",17587526,64.2,"ECU"
"52","Egypt",101930276,42.8,"EGY"
"53","El Salvador",6479609,73.4,"SLV"
"54","Equatorial Guinea",1392950,73.1,"GNQ"
"55","Eritrea",3536285,41.3,"ERI"
"56","Estonia",1326357,69.2,"EST"
"57","Eswatini",1157707,24.2,"SWZ"
"58","Ethiopia",114357494,21.7,"ETH"
"59","Fiji",895128,57.2,"FJI"
"60","Finland",5539002,85.5,"FIN"
"61","France",65244628,81,"FRA"
"62","French Polynesia",280580,62,"PYF"
"63","Gabon",2214593,90.1,"GAB"
"64","Georgia",3990681,59.5,"GEO"
"65","Germany",83730223,77.5,"DEU"
"66","Ghana",30936375,57.3,"GHA"
"67","Gibraltar",33693,100,"GIB"
"68","Greece",10433037,79.7,"GRC"
"69","Greenland",56750,87.3,"GRL"
"70","Grenada",112418,36.5,"GRD"
"71","Guam",168474,94.9,"GUM"
"72","Guatemala",17846248,51.8,"GTM"
"73","Guinea",13056478,44.2,"GIN"
"74","Guinea",13056478,36.5,"GIN"
"75","Guyana",785788,26.8,"GUY"
"76","Haiti",11373955,57.1,"HTI"
"77","Honduras",9871892,58.4,"HND"
"78","Hong Kong",7484618,100,"HKG"
"79","Hungary",9665192,71.9,"HUN"
"80","Iceland",340795,93.9,"ISL"
"81","India",1377233523,34.9,"IND"
"82","Indonesia",272931713,56.6,"IDN"
"83","Iran",83771587,75.9,"IRN"
"84","Iraq",40031626,70.9,"IRQ"
"85","Ireland",4926480,63.7,"IRL"
"86","Isle of Man",84942,52.9,"IMN"
"87","Israel",8627444,92.6,"ISR"
"88","Italy",60479424,71,"ITA"
"89","Jamaica",2958567,56.3,"JAM"
"90","Japan",126552765,91.8,"JPN"
"91","Jordan",10182442,91.4,"JOR"
"92","Kazakhstan",18730568,57.7,"KAZ"
"93","Kenya",53521116,28,"KEN"
"94","Kiribati",119069,55.6,"KIR"
"95","Kyrgyzstan",6501804,36.9,"KGZ"
"96","Laos",7253719,36.3,"LAO"
"97","Latvia",1890218,68.3,"LVA"
"98","Lebanon",6831445,88.9,"LBN"
"99","Lesotho",2138799,29,"LSO"
"100","Liberia",5032469,52.1,"LBR"
"101","Libya",6852010,80.7,"LBY"
"102","Liechtenstein",38106,14.4,"LIE"
"103","Lithuania",2729553,68,"LTU"
"104","Luxembourg",623861,91.5,"LUX"
"105","Madagascar",27539106,38.5,"MDG"
"106","Malawi",19024426,17.4,"MWI"
"107","Malaysia",32280610,77.2,"MYS"
"108","Maldives",538558,40.7,"MDV"
"109","Mali",20125282,43.9,"MLI"
"110","Malta",441308,94.7,"MLT"
"111","Marshall Islands",59109,77.8,"MHL"
"112","Mauritania",4623535,55.3,"MRT"
"113","Mauritius",1271347,40.8,"MUS"
"114","Mexico",128655589,80.7,"MEX"
"115","Moldova",4035814,42.8,"MDA"
"116","Monaco",39186,100,"MCO"
"117","Mongolia",3267320,68.7,"MNG"
"118","Montenegro",628050,67.5,"MNE"
"119","Montserrat",4991,9.1,"MSR"
"120","Morocco",36820713,63.5,"MAR"
"121","Mozambique",31067362,37.1,"MOZ"
"122","Myanmar",54335948,31.1,"MMR"
"123","Namibia",2531290,52,"NAM"
"124","Nauru",10810,100,"NRU"
"125","Nepal",29027347,20.6,"NPL"
"126","Netherlands",17127290,92.2,"NLD"
"127","New Caledonia",284938,71.5,"NCL"
"128","New Zealand",4814272,86.7,"NZL"
"129","Nicaragua",6608366,59,"NIC"
"130","Niger",24014064,16.6,"NER"
"131","Nigeria",205052107,52,"NGA"
"132","Niue",1624,46.2,"NIU"
"133","North Korea",25756088,62.4,"PRK"
"134","North Macedonia",2083391,58.5,"MKD"
"135","Northern Mariana Islands",57490,91.8,"MNP"
"136","Norway",5412632,83,"NOR"
"137","Oman",5078933,86.3,"OMN"
"138","Pakistan",219992900,37.2,"PAK"
"139","Palau",18077,81,"PLW"
"140","Panama",4300667,68.4,"PAN"
"141","Papua New Guinea",8911530,13.3,"PNG"
"142","Paraguay",7114524,62.2,"PRY"
"143","Peru",32876986,78.3,"PER"
"144","Philippines",109280343,47.4,"PHL"
"145","Poland",37854825,60,"POL"
"146","Portugal",10202571,66.3,"PRT"
"147","Puerto Rico",2874636,93.6,"PRI"
"148","Qatar",2870922,99.2,"QAT"
"149","Romania",19262731,56.4,"ROU"
"150","Russia",145922010,74.8,"RUS"
"151","Rwanda",12883878,17.4,"RWA"
"152","Saint Lucia",183458,18.8,"LCA"
"153","San Marino",33917,97.5,"SMR"
"154","Saudi Arabia",34701377,84.3,"SAU"
"155","Senegal",16649599,48.1,"SEN"
"156","Serbia",8744288,56.4,"SRB"
"157","Seychelles",98224,57.5,"SYC"
"158","Sierra Leone",7942879,42.9,"SLE"
"159","Singapore",5840996,100,"SGP"
"160","Sint Maarten",42776,100,"SXM"
"161","Slovakia",5459116,53.8,"SVK"
"162","Slovenia",2078881,55.1,"SVN"
"163","Solomon Islands",683301,24.7,"SLB"
"164","Somalia",15798020,46.1,"SOM"
"165","South Africa",59154802,67.4,"ZAF"
"166","South Korea",51260395,81.4,"KOR"
"167","South Sudan",11166783,20.2,"SSD"
"168","Spain",46751175,80.8,"ESP"
"169","Sri Lanka",21395196,18.7,"LKA"
"170","Sudan",43632213,35.3,"SDN"
"171","Suriname",585561,66.1,"SUR"
"172","Sweden",10086531,88,"SWE"
"173","Switzerland",8641786,73.9,"CHE"
"174","Syria",17410293,55.5,"SYR"
"175","Taiwan",23808164,78.9,"TWN"
"176","Tajikistan",9492342,27.5,"TJK"
"177","Tanzania",59368313,35.2,"TZA"
"178","Thailand",69764925,51.4,"THA"
"179","Togo",8237580,42.8,"TGO"
"180","Tonga",105449,23.1,"TON"
"181","Trinidad and Tobago",1398579,53.2,"TTO"
"182","Tunisia",11793319,69.6,"TUN"
